id	group	file
C141	C	../../data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
C142	C	../../data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
C143	C	../../data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
C144	C	../../data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
C145	M	../../data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
C146	M	../../data/GSE145926_covid19/GSM4339774_C146_filtered_feature_bc_matrix.h5
C51	M	../../data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
C52	S	../../data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
C100	S	../../data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
C148	S	../../data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
C149	S	../../data/GSE145926_covid19/GSM4475052_C149_filtered_feature_bc_matrix.h5
C152	S	../../data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
