id	group	file
A141	C	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
A142	C	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
A143	C	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
A144	C	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
A145	M	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
A51	M	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
A52	S	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
A100	S	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
A148	S	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
A152	S	/apps/COMPSs/PerMedCoE/resources/PilotWorkflow_parallel_analysis/resources/data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
